close,change,momentum,Prediction
46.2248,0.6234,1.0,47.1291
46.2511,0.0263,1.0,46.6989
45.3556,-0.8955,-1.0,47.1466
45.4873,0.1317,1.0,46.8481
45.3644,-0.1229,-1.0,47.7788
46.0053,0.6409,1.0,48.3231
46.2687,0.2634,1.0,48.3758
45.9789,-0.2897,-1.0,48.7006
45.5838,-0.3951,-1.0,48.5601
44.9693,-0.6146,-1.0,47.8841
45.3205,0.3512,1.0,48.0246
45.7331,0.4126,1.0,47.3398
46.1194,0.3863,1.0,47.3486
46.2511,0.1317,1.0,47.8314
47.3134,1.0623,1.0,47.568
47.1203,-0.1932,-1.0,48.8674
47.41,0.2897,1.0,48.9552
48.3055,0.8955,1.0,49.1659
47.849,-0.4565,-1.0,49.5786
47.2959,-0.5531,-1.0,48.6655
47.2432,-0.0527,-1.0,48.7445
47.1378,-0.1054,-1.0,48.6567
46.7867,-0.3512,-1.0,48.6831
46.6286,-0.158,-1.0,48.6216
45.9526,-0.676,-1.0,49.0255
46.5584,0.6058,1.0,48.885
46.0667,-0.4917,-1.0,49.2011
46.6637,0.597,1.0,49.9122
46.734,0.0702,1.0,49.6049
46.4969,-0.2371,-1.0,49.2537
46.6901,0.1932,1.0,48.7445
45.9877,-0.7024,-1.0,48.5075
45.4609,-0.5268,-1.0,48.6479
45.2063,-0.2546,-1.0,49.6225
44.4688,-0.7375,-1.0,50.5707
43.547,-0.9219,-1.0,50.3424
43.6084,0.0615,1.0,49.6488
42.0369,-1.5716,-1.0,49.0342
42.4934,0.4565,1.0,48.9464
40.079,-2.4144,-1.0,49.9824
41.0887,1.0097,1.0,49.8595
39.3415,-1.7471,-1.0,50.2371
41.0887,1.7471,1.0,50.4565
41.5013,0.4126,1.0,50.1756
42.0369,0.5356,1.0,50.5795
42.1159,0.079,1.0,50.1932
42.0018,-0.1141,-1.0,50.7287
40.755,-1.2467,-1.0,50.7814
40.6673,-0.0878,-1.0,51.2994
41.0009,0.3336,1.0,51.3696
42.3793,1.3784,1.0,51.2379
42.8095,0.4302,1.0,51.0711
42.0983,-0.7112,-1.0,50.9921
42.7392,0.6409,1.0,50.8955
43.3714,0.6321,1.0,51.2906
43.7665,0.3951,1.0,51.3696
43.9245,0.158,1.0,51.2643
43.5996,-0.3248,-1.0,51.2555
42.59,-1.0097,-1.0,50.8604
42.151,-0.439,-1.0,50.9921
43.0378,0.8867,1.0,51.0097
42.7656,-0.2722,-1.0,51.0887
41.8086,-0.957,-1.0,52.1159
42.4144,0.6058,1.0,52.0193
42.669,0.2546,1.0,51.8349
43.3714,0.7024,1.0,51.6594
44.3723,1.0009,1.0,50.3863
44.5654,0.1931,1.0,50.7287
44.4513,-0.1141,-1.0,51.3169
44.5303,0.079,1.0,51.2818
43.1256,-1.4047,-1.0,51.3345
41.6067,-1.5189,-1.0,51.3169
41.2292,-0.3775,-1.0,51.4838
41.9227,0.6936,1.0,51.4838
42.1686,0.2458,1.0,51.6769
41.8525,-0.3161,-1.0,51.2643
42.2476,0.3951,1.0,50.9921
41.396,-0.8516,-1.0,51.2994
40.7989,-0.597,-1.0,51.5013
41.554,0.755,1.0,51.3696
42.2739,0.7199,1.0,51.3521
42.8358,0.5619,1.0,51.6857
42.8973,0.0615,1.0,51.712
43.8718,0.9745,1.0,52.2651
44.144,0.2722,1.0,51.993
44.9693,0.8253,1.0,51.3433
44.6795,-0.2897,-1.0,51.0975
45.4083,0.7287,1.0,51.2379
44.7761,-0.6321,-1.0,51.2028
45.4083,0.6321,1.0,51.7208
44.9078,-0.5004,-1.0,52.0018
44.9166,0.0088,1.0,52.0896
45.8736,0.957,1.0,51.8964
46.2335,0.36,1.0,51.2906
45.7155,-0.518,-1.0,51.0975
44.6181,-1.0975,-1.0,50.6497
46.3301,1.712,1.0,50.7989
46.1809,-0.1493,-1.0,51.1238
45.9438,-0.237,-1.0,51.0887
44.504,-1.4399,-1.0,50.7375
44.7322,0.2283,1.0,52.1159
45.7858,1.0536,1.0,50.3687
45.3292,-0.4565,-1.0,49.5171
45.4697,0.1405,1.0,50.3161
46.4004,0.9306,1.0,49.482
44.5917,-1.8086,-1.0,48.6216
44.9429,0.3512,1.0,48.5514
45.7946,0.8516,1.0,48.6567
45.338,-0.4565,-1.0,48.806
46.0404,0.7024,1.0,48.086
44.7147,-1.3257,-1.0,47.9982
43.9245,-0.7902,-1.0,48.0597
43.8016,-0.1229,-1.0,48.4811
43.2397,-0.5619,-1.0,48.3407
42.8183,-0.4214,-1.0,48.6392
42.0193,-0.7989,-1.0,49.2713
42.0808,0.0615,1.0,48.8762
42.9236,0.8428,1.0,48.6216
42.8095,-0.1141,-1.0,49.0694
44.8551,2.0457,1.0,49.4118
45.2151,0.36,1.0,49.8156
45.0395,-0.1756,-1.0,49.5259
45.7331,0.6936,1.0,49.7542
45.777,0.0439,1.0,50.2546
45.8033,0.0263,1.0,50.518
45.3117,-0.4917,-1.0,50.3161
46.0755,0.7638,1.0,50.3336
45.4522,-0.6234,-1.0,50.9482
45.1624,-0.2897,-1.0,50.3951
44.8727,-0.2897,-1.0,50.5531
44.9254,0.0527,1.0,50.3951
45.417,0.4917,1.0,50.878
45.1712,-0.2458,-1.0,51.1501
47.0852,1.914,1.0,51.0272
47.1027,0.0176,1.0,51.2467
47.2608,0.158,1.0,50.5531
47.6997,0.439,1.0,50.4653
47.7963,0.0966,1.0,50.1317
47.2344,-0.5619,-1.0,49.9473
47.7173,0.4829,1.0,49.4557
47.4188,-0.2985,-1.0,49.9824
47.8139,0.3951,1.0,51.2643
47.7612,-0.0527,-1.0,51.4662
48.1124,0.3512,1.0,51.9227
48.1826,0.0702,1.0,51.7208
47.9982,-0.1844,-1.0,52.0193
47.9895,-0.0088,-1.0,51.8876
47.9456,-0.0439,-1.0,52.0808
48.2529,0.3073,1.0,52.1686
48.2441,-0.0088,-1.0,52.1598
48.8674,0.6234,1.0,51.9227
49.6049,0.7375,1.0,51.6506
49.9561,0.3512,1.0,51.9491
49.8595,-0.0966,-1.0,52.432
49.763,-0.0966,-1.0,52.6427
49.8068,0.0439,1.0,52.2915
49.9737,0.1668,1.0,52.4232
49.0079,-0.9658,-1.0,52.5812
48.5865,-0.4214,-1.0,52.3617
48.2002,-0.3863,-1.0,52.9148
48.0948,-0.1054,-1.0,52.2125
48.2441,0.1493,1.0,52.0544
48.1299,-0.1141,-1.0,53.2485
48.7357,0.6058,1.0,52.2827
48.4021,-0.3336,-1.0,53.7577
48.1738,-0.2283,-1.0,53.3538
47.928,-0.2458,-1.0,53.1168
47.9104,-0.0176,-1.0,53.4943
47.4188,-0.4917,-1.0,52.9763
47.6119,0.1932,1.0,52.9939
47.6295,0.0176,1.0,53.0729
47.2256,-0.4039,-1.0,53.3275
47.2695,0.0439,1.0,53.7489
47.6295,0.36,1.0,53.9596
47.2871,-0.3424,-1.0,53.7401
47.2432,-0.0439,-1.0,52.9148
47.2344,-0.0088,-1.0,53.5645
47.252,0.0176,1.0,53.3538
47.5066,0.2546,1.0,53.626
47.8841,0.3775,1.0,54.0738
47.691,-0.1932,-1.0,53.8718
48.1738,0.4829,1.0,54.1264
47.7963,-0.3775,-1.0,54.2932
47.8402,0.0439,1.0,55.0132
47.3047,-0.5356,-1.0,54.6971
47.6471,0.3424,1.0,55.6102
47.9368,0.2897,1.0,55.619
48.2441,0.3073,1.0,56.0755
48.1826,-0.0615,-1.0,56.1633
48.3494,0.1668,1.0,56.3477
48.4548,0.1054,1.0,57.0852
48.6216,0.1668,1.0,56.6111
48.3758,-0.2458,-1.0,56.3828
48.5689,0.1932,1.0,56.4618
48.3582,-0.2107,-1.0,56.5672
48.3582,0.0,0.0,55.9526
48.3319,-0.0263,-1.0,56.2599
48.2792,-0.0527,-1.0,56.1282
48.9289,0.6497,1.0,56.8832
48.9377,0.0088,1.0,56.7691
48.6918,-0.2458,-1.0,57.0939
48.3143,-0.3775,-1.0,56.7867
48.4548,0.1405,1.0,57.3134
49.1133,0.6585,1.0,56.8481
49.122,0.0088,1.0,56.8218
48.7182,-0.4039,-1.0,55.9877
48.8148,0.0966,1.0,56.4179
47.9104,-0.9043,-1.0,56.5935
47.3398,-0.5707,-1.0,57.6471
47.9543,0.6146,1.0,58.0421
48.2704,0.3161,1.0,57.8666
47.8402,-0.4302,-1.0,56.5935
48.0246,0.1844,1.0,57.4276
48.7709,0.7463,1.0,57.3749
47.9631,-0.8077,-1.0,56.7428
47.9543,-0.0088,-1.0,57.2695
48.3055,0.3512,1.0,57.5066
47.8841,-0.4214,-1.0,58.2616
48.0509,0.1668,1.0,58.5338
48.5601,0.5092,1.0,58.6216
48.7972,0.2371,1.0,58.4636
49.0079,0.2107,1.0,58.9464
48.8323,-0.1756,-1.0,59.122
48.4723,-0.36,-1.0,58.6655
48.0246,-0.4478,-1.0,59.1659
47.8227,-0.2019,-1.0,60.7814
47.0237,-0.7989,-1.0,60.2985
47.0237,0.0,0.0,60.2722
47.1378,0.1141,1.0,60.1932
46.7779,-0.36,-1.0,61.4574
47.0061,0.2283,1.0,61.4838
47.1466,0.1405,1.0,61.5277
46.8832,-0.2634,-1.0,62.1686
46.6286,-0.2546,-1.0,62.9851
46.8218,0.1932,1.0,62.3178
46.1106,-0.7112,-1.0,63.2046
45.6453,-0.4653,-1.0,62.3793
46.2687,0.6234,1.0,62.3617
46.4969,0.2283,1.0,61.6857
46.3916,-0.1054,-1.0,61.396
46.6637,0.2722,1.0,61.3257
46.2511,-0.4126,-1.0,61.8876
46.4355,0.1844,1.0,61.2555
46.1018,-0.3336,-1.0,61.2906
45.7858,-0.3161,-1.0,60.3336
44.7059,-1.0799,-1.0,61.0623
45.259,0.5531,1.0,60.5531
45.4873,0.2283,1.0,59.5786
46.6111,1.1238,1.0,59.6488
46.6637,0.0527,1.0,60.5004
47.1291,0.4653,1.0,60.3863
46.6989,-0.4302,-1.0,59.7981
47.1466,0.4478,1.0,59.1133
46.8481,-0.2985,-1.0,59.9473
47.7788,0.9306,1.0,59.7103
48.3231,0.5443,1.0,60.3161
48.3758,0.0527,1.0,61.1062
48.7006,0.3248,1.0,60.6146
48.5601,-0.1405,-1.0,59.8771
